id,employee_id,leave_type,start_date,end_date,reason,status
1,8,SICK,6/20/2024,6/21/2024,Moving to a new house,PENDING
2,23,SICK,6/6/2024,6/8/2024,Visiting relatives abroad,PENDING
3,24,SICK,9/24/2024,9/27/2024,Visiting relatives abroad,REJECTED
4,19,ANNUAL,11/22/2024,11/26/2024,Medical appointment for checkup,REJECTED
5,28,PATERNITY,11/28/2024,11/30/2024,Attending a family wedding,APPROVED
6,43,MATERNITY,5/18/2024,5/19/2024,Expanding our family,REJECTED
7,13,MATERNITY,4/14/2024,4/16/2024,Recovering from seasonal flu,APPROVED
8,40,UNPAID,7/7/2024,7/9/2024,Attending a family wedding,APPROVED
9,44,MATERNITY,12/13/2024,12/17/2024,Family vacation to the beach,REJECTED
10,19,MATERNITY,10/19/2024,10/24/2024,Personal development workshop,APPROVED
11,30,PATERNITY,12/12/2024,12/14/2024,Recovering from seasonal flu,REJECTED
12,29,MATERNITY,12/2/2024,12/3/2024,Attending a family wedding,PENDING
13,23,UNPAID,8/9/2024,8/12/2024,Personal development workshop,REJECTED
14,31,PATERNITY,11/2/2024,11/4/2024,Medical appointment for checkup,PENDING
15,25,SICK,8/21/2024,8/24/2024,Family vacation to the beach,REJECTED
16,40,MATERNITY,12/2/2024,12/3/2024,Personal development workshop,APPROVED
17,30,MATERNITY,8/19/2024,8/23/2024,Rest and recuperation,PENDING
18,3,PATERNITY,3/14/2024,3/15/2024,Expanding our family,APPROVED
19,24,PATERNITY,12/17/2024,12/19/2024,Medical appointment for checkup,REJECTED
20,27,UNPAID,4/15/2024,4/17/2024,New baby at home!,PENDING
21,19,MATERNITY,8/17/2024,8/18/2024,Visiting relatives abroad,APPROVED
22,21,UNPAID,6/21/2024,6/26/2024,New baby at home!,APPROVED
23,20,UNPAID,5/23/2024,5/27/2024,Family vacation to the beach,REJECTED
24,32,MATERNITY,8/17/2024,8/19/2024,New baby at home!,PENDING
25,38,SICK,5/25/2024,5/29/2024,Recovering from seasonal flu,APPROVED
26,7,UNPAID,12/25/2024,12/26/2024,Expanding our family,REJECTED
27,47,UNPAID,5/11/2024,5/14/2024,Family vacation to the beach,REJECTED
28,22,ANNUAL,6/13/2024,6/14/2024,Visiting relatives abroad,PENDING
29,22,ANNUAL,6/17/2024,6/20/2024,Attending a family wedding,REJECTED
30,44,SICK,6/13/2024,6/14/2024,Visiting relatives abroad,REJECTED
31,13,ANNUAL,2/20/2024,2/25/2024,Moving to a new house,APPROVED
32,28,ANNUAL,8/20/2024,8/25/2024,New baby at home!,PENDING
33,4,PATERNITY,9/12/2024,9/16/2024,Attending a family wedding,REJECTED
34,19,ANNUAL,8/1/2024,8/5/2024,Expanding our family,PENDING
35,8,MATERNITY,9/4/2024,9/5/2024,Recovering from seasonal flu,APPROVED
36,39,MATERNITY,2/10/2024,2/12/2024,Rest and recuperation,PENDING
37,50,ANNUAL,1/21/2024,1/24/2024,Expanding our family,REJECTED
38,49,PATERNITY,2/6/2024,2/8/2024,Family vacation to the beach,PENDING
39,44,SICK,11/14/2024,11/16/2024,Personal development workshop,APPROVED
40,16,SICK,3/14/2024,3/16/2024,Attending a family wedding,PENDING
41,36,ANNUAL,5/3/2024,5/4/2024,Rest and recuperation,PENDING
42,11,SICK,8/27/2024,8/31/2024,Personal development workshop,APPROVED
43,50,PATERNITY,7/27/2024,7/31/2024,Medical appointment for checkup,REJECTED
44,45,UNPAID,11/18/2024,11/19/2024,Personal development workshop,REJECTED
45,1,PATERNITY,7/28/2024,7/31/2024,Visiting relatives abroad,REJECTED
46,8,UNPAID,9/24/2024,9/29/2024,New baby at home!,PENDING
47,4,MATERNITY,5/25/2024,5/30/2024,Attending a family wedding,PENDING
48,5,PATERNITY,10/12/2024,10/13/2024,Moving to a new house,REJECTED
49,28,PATERNITY,12/19/2024,12/20/2024,Attending a family wedding,REJECTED
50,36,UNPAID,1/9/2024,1/13/2024,Rest and recuperation,REJECTED
51,23,UNPAID,5/4/2024,5/8/2024,Family vacation to the beach,PENDING
52,49,UNPAID,2/12/2024,2/17/2024,Family vacation to the beach,REJECTED
53,10,MATERNITY,3/22/2024,3/27/2024,Family vacation to the beach,APPROVED
54,44,MATERNITY,6/20/2024,6/21/2024,Medical appointment for checkup,APPROVED
55,19,UNPAID,4/22/2024,4/25/2024,Expanding our family,APPROVED
56,29,MATERNITY,6/15/2024,6/18/2024,Moving to a new house,APPROVED
57,44,PATERNITY,2/14/2024,2/18/2024,Attending a family wedding,APPROVED
58,40,UNPAID,7/2/2024,7/6/2024,New baby at home!,PENDING
59,48,ANNUAL,2/21/2024,2/26/2024,Recovering from seasonal flu,APPROVED
60,13,PATERNITY,9/16/2024,9/18/2024,Rest and recuperation,APPROVED
61,20,UNPAID,6/15/2024,6/19/2024,Rest and recuperation,REJECTED
62,41,SICK,9/24/2024,9/27/2024,Rest and recuperation,PENDING
63,8,PATERNITY,6/17/2024,6/20/2024,Expanding our family,REJECTED
64,26,PATERNITY,1/11/2024,1/14/2024,Family vacation to the beach,REJECTED
65,3,UNPAID,9/6/2024,9/7/2024,New baby at home!,APPROVED
66,40,ANNUAL,12/4/2024,12/5/2024,Expanding our family,APPROVED
67,43,MATERNITY,9/9/2024,9/14/2024,New baby at home!,PENDING
68,20,UNPAID,6/24/2024,6/25/2024,Rest and recuperation,PENDING
69,28,MATERNITY,8/21/2024,8/22/2024,Personal development workshop,PENDING
70,37,MATERNITY,8/20/2024,8/21/2024,Family vacation to the beach,APPROVED
71,13,SICK,4/21/2024,4/25/2024,New baby at home!,APPROVED
72,6,ANNUAL,7/14/2024,7/19/2024,Personal development workshop,PENDING
73,17,PATERNITY,10/11/2024,10/12/2024,Attending a family wedding,APPROVED
74,17,ANNUAL,2/27/2024,2/29/2024,Attending a family wedding,PENDING
75,17,UNPAID,11/24/2024,11/28/2024,Rest and recuperation,APPROVED
76,8,UNPAID,4/15/2024,4/18/2024,Visiting relatives abroad,APPROVED
77,8,SICK,6/15/2024,6/17/2024,New baby at home!,APPROVED
78,21,SICK,10/11/2024,10/13/2024,Rest and recuperation,APPROVED
79,2,MATERNITY,7/7/2024,7/10/2024,Recovering from seasonal flu,PENDING
80,8,MATERNITY,4/1/2024,4/3/2024,Medical appointment for checkup,APPROVED
81,18,ANNUAL,12/28/2024,12/30/2024,Attending a family wedding,APPROVED
82,28,SICK,11/28/2024,11/30/2024,Medical appointment for checkup,APPROVED
83,12,UNPAID,10/2/2024,10/3/2024,Recovering from seasonal flu,REJECTED
84,11,ANNUAL,4/1/2024,4/5/2024,Visiting relatives abroad,PENDING
85,13,UNPAID,11/2/2024,11/3/2024,Expanding our family,APPROVED
86,37,UNPAID,5/7/2024,5/9/2024,Rest and recuperation,REJECTED
87,46,UNPAID,8/7/2024,8/11/2024,Attending a family wedding,REJECTED
88,38,ANNUAL,5/28/2024,5/30/2024,Rest and recuperation,REJECTED
89,22,UNPAID,11/21/2024,11/25/2024,Visiting relatives abroad,PENDING
90,35,ANNUAL,6/3/2024,6/5/2024,Family vacation to the beach,PENDING
91,9,PATERNITY,9/21/2024,9/26/2024,Moving to a new house,REJECTED
92,40,ANNUAL,11/27/2024,11/30/2024,Attending a family wedding,PENDING
93,27,SICK,8/21/2024,8/24/2024,Expanding our family,PENDING
94,6,ANNUAL,3/28/2024,3/31/2024,Expanding our family,APPROVED
95,48,PATERNITY,1/28/2024,1/31/2024,New baby at home!,REJECTED
96,4,PATERNITY,3/8/2024,3/12/2024,Moving to a new house,PENDING
97,25,SICK,4/21/2024,4/25/2024,Attending a family wedding,APPROVED
98,12,MATERNITY,5/12/2024,5/16/2024,Recovering from seasonal flu,REJECTED
99,22,ANNUAL,3/20/2024,3/25/2024,Expanding our family,APPROVED
100,6,SICK,9/1/2024,9/2/2024,Rest and recuperation,PENDING